,tick,state,bias,alpha,omega,entropy,coherence,latency_drift,timestamp_utc,sha256,high_drift
0,1,0.429,0.439,1.05,0.9111,0.0064,0.998,0.0094,2025-10-28T02:35:55.445555Z,7a00ba4b4f583df8aede6ac87dc7a5b2be8517f63b80336008a7affb5f5199f1,True
4,5,0.572,0.001,1.046,0.5993,0.0068,0.987,0.0125,2025-10-28T02:35:55.445738Z,e5daf5c355d29fa00929855775999810e04651453697e3dd00f416426a72d360,True
5,6,0.275,0.022,1.051,0.3129,0.0044,0.9891,0.0114,2025-10-28T02:35:55.445760Z,d4df8cb51e470d137baf2c4fa1f80c42488159fe5002c610c6df335aa2e1be3a,True
6,7,0.518,0.005,1.058,0.5532,0.0089,0.9891,0.0122,2025-10-28T02:35:55.445783Z,95b0a61b63a0e38758c12d62d97160922d563d543b293af482800d5e136d36c4,True
7,8,0.492,0.105,1.043,0.6228,0.0081,0.9911,0.0072,2025-10-28T02:35:55.445808Z,4eba6bbbdb84d8a3d4b76cb0b2029ad50c03f4b5498ce806bfe9c137a27c6b73,True
8,9,0.493,0.421,1.043,0.9535,0.0048,0.9861,0.0086,2025-10-28T02:35:55.445843Z,deb566586e7f8ef673074545bbb5deb1df5d09a83075593310ec0c0ee13cacd3,True
10,11,0.443,0.091,1.047,0.5587,0.0047,0.986,0.008,2025-10-28T02:35:55.445889Z,1837760e3f426136d2f61d592db6df7834ea6aa333e4a5da27489991037a9c09,True
19,20,0.521,0.432,1.052,1.0027,0.0088,0.9931,0.0091,2025-10-28T02:35:55.446141Z,9d649c06132b23f2ada5c87fdc19305cfd339a3f02f3337dfb0136b78f764865,True
21,22,0.407,0.046,1.056,0.4785,0.0084,0.9903,0.0102,2025-10-28T02:35:55.446196Z,99ae8104b0cbc697bdf674db6919e0ef6532cb3793ce3be0ec8a1f7a36607378,True
24,25,0.394,0.447,1.041,0.8761,0.0048,0.9959,0.0099,2025-10-28T02:35:55.446279Z,4b737e5f0a03ccb20609126b0c52afaeb20ce91ebdd87a46761f3dc1e01ff6d6,True
26,27,0.466,0.473,1.045,0.9811,0.0067,0.9969,0.0112,2025-10-28T02:35:55.446338Z,b9d6b07bfd693e66b14bc9a627986436daf3621dbd86325e8f2b362788c2efd1,True
27,28,0.266,0.042,1.054,0.3241,0.0088,0.9897,0.0104,2025-10-28T02:35:55.446360Z,ffa3b38cf65de8368aac7ba5ec19a03c47c982726e5deb109337d05e957a26c1,True
29,30,0.454,0.411,1.044,0.9029,0.0049,0.9898,0.0081,2025-10-28T02:35:55.446401Z,9a97fa078510fd433b3bc63e68202bb7768c05e36787e3310f758ca32e56c4ef,True
30,31,0.27,0.416,1.046,0.7173,0.007,0.9966,0.0083,2025-10-28T02:35:55.446421Z,4aa58a759d019a66d58dce0ba9818cc58251f95848025557d249d86c994e5adc,True
34,35,0.689,0.459,1.048,1.2027,0.0061,0.9963,0.0104,2025-10-28T02:35:55.446512Z,7c6ea79b99663d29d8319d7e241f5b1e76a2cdf669ad652136d6698fbb5f4f2e,True
36,37,0.407,0.428,1.059,0.8848,0.0031,0.986,0.0089,2025-10-28T02:35:55.446554Z,15fb965be7cbc18baff952a438b167b9ff7436e4b0b09cc3c04ba6a52047db80,True
39,40,0.685,0.002,1.045,0.7181,0.0083,0.989,0.0124,2025-10-28T02:35:55.446647Z,7cc2e45c49a2b47f91a7d658db5e51a6b10f0d4ea684d9f290cd9e5bdc4c10c5,True
41,42,0.763,0.475,1.046,1.2951,0.0078,0.986,0.0113,2025-10-28T02:35:55.446700Z,0875d3d4f7a1f97e1a708300ad10730d8cbc489d9143580e6f2d844208dcfe4b,True
43,44,0.789,0.428,1.058,1.288,0.0032,0.9946,0.0089,2025-10-28T02:35:55.446742Z,7de78b3c62d3041044b3860e532eadf1882c94b70c025d6ace96c26b5bfc8508,True
45,46,0.697,0.442,1.057,1.204,0.0037,0.9976,0.0096,2025-10-28T02:35:55.446783Z,a621f219d2d549a5c5831df0966979b25c63d87fb8f1295ababb5532bf17a2e4,True
46,47,0.41,0.464,1.042,0.9117,0.0034,0.988,0.0107,2025-10-28T02:35:55.446805Z,38d4a7461de1c39ec416a1dfb75393dfed2155a18c5dd525e3ec4eba6eb958e4,True
49,50,0.376,0.025,1.048,0.4203,0.0072,0.991,0.0113,2025-10-28T02:35:55.446867Z,4e0f35343a766bb6bb81d6407aa1e57c9a6cf8896b21a50aa680a5cc9d436c09,True
